PONumber,Quantity,Dollars,Freight,total_item_quantity,total_item_dollars,avg_receiving_delay
10645,11,234.52,1.29,11,234.51999999999998,10.5
10774,1,22.72,0.12,1,22.72,9.0
12158,5546,40541.75,186.49,5546,40541.75,10.19773095623987
12514,7050,44307.29,212.67,102,1791.96,4.923076923076923
11672,58,503.36,2.62,58,503.36,8.75
9638,30,418.2,1.92,30,418.20000000000005,9.75
8505,265,2168.1,11.71,265,2168.1,10.52
9500,2,217.1,1.11,2,217.1,5.0
12012,15945,98200.34,500.82,15945,98200.34,7.0393738140417454
13451,240,3955.44,21.75,118,1015.06,10.9
12256,423,5009.04,25.05,423,5009.04,8.285714285714286
12930,3989,29645.49,151.19,1578,23297.49,10.063348416289593
8699,180,1602.48,7.85,180,1602.48,5.533333333333333
12140,61,400.45,2.0,61,400.45,4.5
10660,93,686.94,3.23,93,686.94,8.88888888888889
12416,225,3251.36,15.93,243,3507.2000000000003,9.93939393939394
12866,36,776.88,3.81,649,7180.78,8.307692307692308
13235,1839,9289.23,44.59,8724,92278.61,4.530046224961479
10027,167,4249.67,22.52,167,4249.67,10.333333333333334
12634,6,214.26,1.03,1468,8686.28,9.4375
10676,6,116.4,0.64,6,116.4,9.0
8420,520,4392.3,20.2,520,4392.3,9.038461538461538
11203,456,10159.08,54.86,456,10159.08,5.571428571428571
8172,5,146.8,15.53,5,146.8,8.0
10498,4129,35072.08,185.88,4129,35072.08,6.270833333333333
11092,12,127.08,0.64,12,127.08,8.0
10798,3112,24297.34,133.64,3112,24297.34,5.481481481481482
8337,29,399.12,2.08,29,399.12,9.5
12502,102,1839.96,8.83,11435,85640.17,5.061320754716981
12793,119,2593.35,13.23,12,164.28,7.0
12194,10462,69104.53,373.16,10462,69104.53,7.1906873614190685
9632,711,5283.27,28.53,711,5283.27,10.063492063492063
10911,7437,80783.22,411.99,7437,80783.22,6.2265625
10845,138,1111.37,5.22,138,1111.3700000000001,6.071428571428571
9395,93,733.77,3.6,93,733.7700000000001,6.375
8196,7,98.49,9.65,7,98.49000000000001,8.0
9677,18,388.44,1.86,18,388.43999999999994,7.333333333333333
12887,2366,17466.9,94.32,12,48.6,6.0
13077,16165,226877.57,1202.45,87,1270.98,7.0
9965,96,687.84,3.16,96,687.84,7.75
8586,54,293.56,1.61,54,293.56,6.666666666666667
13459,2597,51161.38,271.16,7467,83415.13,10.029045643153527
13645,9745,79904.22,375.55,51177,386176.58,4.830403800475059
8708,757,23895.63,107.53,757,23895.63,10.160377358490566
9051,72,646.08,3.3,72,646.08,9.166666666666666
10987,5484,40809.87,204.05,5484,40809.87,6.0887218045112785
12436,203,2998.95,15.89,6123,36392.14,10.016556291390728
9590,20868,275609.94,1488.29,20868,275609.94,6.032380952380953
10505,9638,71073.32,348.26,9638,71073.31999999999,6.004518072289157
11935,1754,11133.51,61.23,1754,11133.51,5.101010101010101
10837,6718,94479.04,434.6,6718,94479.04,6.210653753026635
12368,25328,196908.29,886.09,1344,20145.19,7.064516129032258
11284,325,4066.13,22.36,325,4066.13,7.5
12590,30,642.18,3.34,8513,67190.94,5.924242424242424
8865,20787,149413.91,821.78,20787,149413.91,7.026109660574413
13279,2153,12942.39,62.12,164,2641.01,8.210526315789474
11032,77,1259.93,6.55,77,1259.93,11.384615384615385
8434,30,661.5,3.04,30,661.5,7.4
10381,2761,23965.3,131.81,2761,23965.3,7.219281663516068
9494,6094,65042.59,318.71,6094,65042.59,5.954323001631321
9561,24,146.58,0.73,24,146.58,9.0
8976,84,700.8,3.15,84,700.8,7.285714285714286
12687,588,9614.46,47.11,13,282.01,7.333333333333333
10367,77,1144.22,5.26,77,1144.22,7.818181818181818
10484,24,193.32,1.06,24,193.32,7.0
9885,228,2117.28,9.53,228,2117.28,7.428571428571429
8448,977,21894.26,98.52,977,21894.260000000002,8.275862068965518
12927,17109,101293.66,536.86,155,1291.05,5.153846153846154
12666,172,2707.57,14.89,149,677.55,8.461538461538462
8869,3478,26552.78,140.73,3478,26552.780000000002,7.209039548022599
10663,275,2988.56,14.94,275,2988.56,8.62962962962963
9611,8063,57966.53,272.44,8063,57966.53,5.171610169491525
11938,18,642.78,3.34,18,642.78,9.666666666666666
11763,733,27163.64,122.24,733,27163.64,9.53061224489796
10753,15812,209653.2,964.4,15812,209653.2,8.587192118226602
9175,4986,36046.31,176.63,4986,36046.31,7.144117647058824
8696,36056,421757.88,2235.32,36056,421757.88,5.129615674453655
9845,60,864.06,4.06,60,864.06,9.333333333333334
12355,3417,31228.58,146.77,978,6218.13,8.11111111111111
9612,24,877.92,4.3,24,877.9200000000001,5.5
10726,172,2236.64,10.96,172,2236.64,5.533333333333333
8204,6,136.32,1.23,6,136.32,7.0
9300,54,1030.32,5.67,54,1030.32,6.222222222222222
10948,4,90.88,0.48,4,90.88,12.0
9924,23554,175715.01,861.0,23554,175715.01,10.114285714285714
11163,153,1717.2,9.27,153,1717.1999999999998,8.76923076923077
11149,1537,13651.94,66.89,1537,13651.94,9.046875
9967,405,4438.56,22.64,405,4438.56,8.054054054054054
11828,12032,89339.06,482.43,12032,89339.06,5.112737920937042
10792,3754,34237.07,154.07,3754,34237.07,6.7
11748,22317,253169.4,1265.85,22317,253169.4,9.04971098265896
12743,42869,516130.15,2477.42,95,2034.9,9.8
10769,24220,181569.2,817.06,24220,181569.2,7.607471264367816
10519,316,3406.04,18.73,316,3406.04,4.592592592592593
8940,11,231.99,1.23,11,231.99,10.0
11323,1121,10623.36,49.93,1121,10623.36,5.157894736842105
13034,101,878.31,4.13,1563,43132.31,10.48
8473,36,312.96,1.72,36,312.96000000000004,6.0
12496,10703,122543.28,637.23,30,304.38,6.666666666666667
13467,320,10237.85,46.07,11,42.980000000000004,10.0
12429,1605,11320.2,53.2,80,634.9,10.0
12617,5600,36575.9,164.59,1015,6267.58,5.132352941176471
12714,65533,660216.52,3367.1,37368,627258.0,5.032180595581172
9098,1515,15011.21,79.56,1515,15011.21,4.92436974789916
12072,1269,12902.18,64.51,1269,12902.18,8.969325153374234
8672,167,1686.02,8.94,167,1686.02,6.8125
9517,2049,18697.11,91.62,2049,18697.11,5.690140845070423
12890,40775,574958.37,3047.28,12,105.0,5.5
8520,1374,22801.47,120.85,1374,22801.47,9.441489361702128
8883,113,1692.54,7.79,113,1692.54,5.95
8462,19097,161003.31,772.82,19097,161003.31,7.100167879127029
12019,430,3174.92,14.92,430,3174.92,6.641025641025641
8126,90,854.1,16.7,90,854.1,11.75
13091,113,892.48,4.64,56538,631920.62,7.38489646772229
9778,59,870.66,4.53,59,870.6600000000001,6.333333333333333
11328,1192,8603.27,44.74,1192,8603.27,10.779069767441861
12346,239,3304.3,17.18,7619,75002.8,8.88167053364269
10884,3026,20794.41,99.81,3026,20794.41,6.223140495867769
12129,711,7437.62,34.96,711,7437.62,5.109090909090909
10313,8837,67673.82,311.3,8837,67673.82,5.503496503496503
8676,6,84.3,0.44,6,84.3,7.0
9336,77,1083.39,5.31,77,1083.39,8.846153846153847
11574,10461,81877.22,417.57,10461,81877.22,7.944186046511628
8189,12,228.96,4.76,12,228.96,8.5
12128,30,249.6,1.2,30,249.6,4.25
12442,188,1377.4,7.58,75,977.52,9.2
9204,20,305.2,1.56,20,305.2,6.0
13063,4034,29137.82,145.69,17079,218094.84,9.428752374920837
8428,129,1939.08,9.11,129,1939.08,9.19047619047619
10397,333,3899.67,17.94,333,3899.67,6.387755102040816
12640,2748,74400.59,394.32,17678,51773.66,8.611570247933884
8959,3317,50461.92,232.12,3317,50461.92,8.156441717791411
8261,72,571.2,2.86,72,571.2,6.5
10376,18627,109241.2,513.43,18627,109241.2,8.102692834322227
12447,36,756.84,4.16,821,8317.51,9.0
13485,1063,8806.58,44.91,101,1589.74,7.666666666666667
12293,42,194.88,0.97,42,194.88,8.0
12577,1718,24857.5,121.8,14014,364706.12,6.993827160493828
9206,147,1079.52,5.83,147,1079.52,4.846153846153846
8795,22,191.44,0.88,22,191.44,4.2
10328,356,3375.66,15.53,356,3375.66,10.178571428571429
8948,6,48.3,0.23,6,48.3,8.0
10991,9574,90643.32,407.89,9574,90643.32,5.968232044198895
10714,195,5866.65,26.99,195,5866.65,5.090909090909091
12475,130,1068.51,5.02,29115,416593.78,7.011770475723393
13252,199,1716.45,8.07,12,257.04,9.0
8651,17267,100778.73,493.82,17267,100778.73,8.083846518237802
12545,4133,40995.88,221.38,96,2094.25,8.928571428571429
11349,9324,75847.74,417.16,9324,75847.74,9.005188067444877
12135,5825,47654.82,214.45,5825,47654.82,4.911854103343465
13050,6041,38258.14,179.81,6,214.26,9.0
8575,94829,823878.62,4531.33,94829,823878.62,6.328616352201258
10692,24,174.0,0.8,24,174.0,7.5
10994,4284,46283.04,254.56,4284,46283.04,6.244514106583072
11435,53287,573657.32,2983.02,53287,573657.32,10.057717419691826
12696,291,1780.92,9.44,140,2207.45,6.03030303030303
10799,214,2957.17,15.08,214,2957.17,5.45
9161,54,467.76,2.48,54,467.76,7.0
10145,1883,13331.22,67.99,1883,13331.22,9.646067415730338
10127,725,23433.74,107.8,725,23433.739999999998,9.64406779661017
9243,2,189.52,0.99,2,189.52,6.0
10806,7800,55713.49,278.57,7800,55713.49,5.58204334365325
8963,12995,135576.01,677.88,12995,135576.01,7.090163934426229
8487,96,887.16,4.7,96,887.16,6.125
12020,36,793.44,3.73,36,793.44,5.5
13646,51177,386176.58,1737.79,111,1996.86,4.636363636363637
10540,1257,9035.87,42.47,1257,9035.87,9.773584905660377
8224,5715,43820.57,197.19,5715,43820.57,8.846020761245676
9808,27965,311577.83,1589.05,27965,311577.83,5.197601918465228
13383,7510,63128.69,309.33,10094,113419.35,8.365019011406844
8205,24,176.04,9.41,24,176.04000000000002,7.0
12543,2374,31165.25,162.06,2,35.42,8.0
11589,119801,1104864.79,5855.78,119801,1104864.79,7.079576719576719
12335,36,285.6,1.49,5046,33442.69,9.029900332225914
11332,41,319.8,1.57,41,319.8,8.0
8761,833,7874.4,40.95,833,7874.4,7.037037037037037
12227,2404,62221.63,298.66,2404,62221.63,5.871212121212121
11068,3989,26786.41,141.97,3989,26786.41,8.236238532110091
11943,168,3553.44,16.35,168,3553.44,9.785714285714286
9879,7665,74724.66,366.15,7665,74724.66,7.192377495462795
11952,30,488.1,2.29,30,488.1,7.0
9944,175,1858.75,8.92,175,1858.75,9.071428571428571
8785,287,3125.11,16.25,287,3125.1099999999997,6.125
8531,186,834.66,4.34,186,834.66,8.941176470588236
10841,39,1198.44,5.99,39,1198.44,6.0
13391,1419,11217.99,51.6,36,359.76,7.333333333333333
11777,743,11450.87,59.54,743,11450.87,8.024390243902438
10595,115,1396.0,6.56,115,1396.0,7.083333333333333
8775,692,6950.75,33.36,692,6950.75,7.258064516129032
12655,1809,26458.82,140.23,43127,287795.54,8.06757493188011
9537,396,4951.18,22.28,396,4951.18,9.522727272727273
8305,6991,52219.32,261.1,6991,52219.32,4.5731958762886595
12596,210,2383.88,12.4,5600,36575.9,6.096267190569745
9297,22,114.18,0.55,22,114.18,7.0
11188,58643,792646.81,3804.7,58643,792646.81,6.209590739975196
10627,3771,33123.84,172.24,3771,33123.840000000004,4.904761904761905
9619,182,5762.29,28.81,182,5762.29,10.055555555555555
9599,11679,75226.93,361.09,11679,75226.93000000001,6.139049826187717
10477,36,420.36,1.89,36,420.36,8.0
12826,129,1024.83,5.12,5478,32932.45,5.023423423423424
12469,12,99.24,0.48,55802,509028.25,6.942017474185862
11616,1414,17931.19,87.86,1414,17931.19,6.846938775510204
9365,17653,104643.36,481.36,17653,104643.36,6.960990247561891
12897,4871,91235.95,447.06,48,423.36,6.5
13493,587,7552.4,39.27,176,2171.37,8.68
12682,7,140.27,0.76,320,4512.92,7.134615384615385
12805,184,2550.96,11.99,48,1023.36,4.333333333333333
9641,3,42.15,0.23,3,42.15,9.0
11235,15829,140492.64,646.27,15829,140492.63999999998,10.441025641025641
11464,72999,487618.33,2389.33,72999,487618.33,8.067117334620956
11496,138,2233.63,12.28,138,2233.63,5.933333333333334
12905,12,124.56,0.66,2366,17466.9,6.0594059405940595
12185,15756,145207.55,697.0,15756,145207.55,7.997938144329897
9691,12,54.0,0.28,12,54.0,6.0
9534,36,237.48,1.19,36,237.48000000000002,11.0
12712,140,2207.45,11.48,107,979.79,6.0
8419,24638,161291.06,758.07,24638,161291.06,9.104940970703979
12015,82,981.96,4.81,82,981.96,6.333333333333333
12801,179,1895.08,9.48,6134,139477.79,6.102941176470588
10785,1929,24375.48,119.44,1929,24375.48,6.465408805031447
8904,228,2545.32,11.71,228,2545.3199999999997,6.0
9242,130,1163.59,5.24,130,1163.5900000000001,9.454545454545455
12977,2,155.84,0.83,227,2968.18,7.833333333333333
8901,72,637.44,3.44,72,637.44,6.5
13339,1257,35769.85,182.43,195,6316.01,10.133333333333333
8862,30,624.72,3.25,30,624.72,8.333333333333334
8275,131,3850.37,20.79,131,3850.37,5.55
12681,5355,49673.54,233.47,8799,60010.5,7.081881533101045
10767,300,2713.66,14.11,300,2713.66,7.863636363636363
9160,2729,40998.15,204.99,2729,40998.15,7.933774834437086
11309,7529,53088.71,244.21,7529,53088.71,6.056756756756757
10724,7378,56701.71,300.52,7378,56701.71,5.153169014084507
11914,69,1514.04,7.87,69,1514.04,7.166666666666667
10388,107,757.75,3.64,107,757.75,7.222222222222222
10828,9460,56479.66,271.1,9460,56479.66,4.572164948453608
9525,4871,38094.99,205.71,4871,38094.99,10.055343511450381
10147,5,57.05,0.26,5,57.05,11.0
13475,176,2171.37,9.77,19,260.11,8.5
12356,7164,53462.34,256.62,126,1302.6,7.0
10350,2173,24137.18,130.34,2173,24137.18,9.23021582733813
9184,791,8341.36,44.21,791,8341.36,6.102564102564102
12733,11807,117334.01,551.47,52,733.04,10.0
9835,1635,12727.28,66.18,1635,12727.28,9.044534412955466
8292,60,480.72,2.55,60,480.71999999999997,6.0
12341,178,1572.43,7.39,667,3990.35,9.0
10489,65,955.5,4.87,65,955.5,6.3
9120,5467,40919.79,204.6,5467,40919.79,9.972
11143,48,436.56,2.4,48,436.56,9.0
11845,99,1256.34,6.41,99,1256.3400000000001,10.0
8822,3,58.2,0.31,3,58.2,9.0
9002,5365,108549.52,510.18,5365,108549.52,4.986072423398329
12913,130,2057.14,9.26,2738,35853.18,4.70334928229665
8961,37,705.96,3.53,37,705.96,8.571428571428571
13261,218,1865.06,9.14,140,1764.1000000000001,9.38888888888889
11599,12971,96571.16,531.14,12971,96571.16,7.060280759702725
12278,36,344.88,1.66,36,344.88,8.333333333333334
8579,3659,31967.72,150.25,3659,31967.72,6.6147186147186146
10162,89,1301.45,6.9,89,1301.45,8.863636363636363
11767,12,81.6,0.42,12,81.6,9.0
9862,10929,91229.37,465.27,10929,91229.37,7.968518518518518
9973,46545,459435.46,2251.23,46545,459435.46,7.177215189873418
9911,62,1628.33,7.33,62,1628.33,5.375
8653,162,5380.02,27.44,162,5380.0199999999995,6.133333333333334
11823,237,6224.78,29.88,237,6224.78,5.4
10331,72,625.92,3.38,72,625.9200000000001,10.0
8808,2477,19943.33,93.73,2477,19943.329999999998,10.141843971631205
13587,3316,73446.31,337.85,4502,48629.23,8.709030100334449
9302,81771,645253.01,3032.69,81771,645253.01,4.9937578027465666
8315,17180,220470.75,1080.31,17180,220470.75,10.025518341307816
11132,389,7666.3,42.16,389,7666.3,9.173913043478262
12814,7351,55914.22,257.21,12,99.24,6.0
10182,315,4074.73,21.6,315,4074.73,7.68
13623,7647,68885.21,344.43,10116,74714.55,6.787383177570093
10961,161,1729.01,7.95,161,1729.01,7.857142857142857
9448,5712,137338.89,672.96,5712,137338.88999999998,9.044230769230769
10673,10254,72846.56,335.09,10254,72846.56,8.033414832925835
11838,6887,58270.38,314.66,6887,58270.38,9.947368421052632
11373,10422,82212.71,369.96,10422,82212.71,8.28252299605782
11917,12,259.8,1.3,12,259.8,5.0
13338,36,359.76,1.91,202,4424.22,9.935483870967742
13206,5807,43256.67,194.66,8207,59582.94,5.806741573033708
13103,643,5489.64,28.55,23079,262474.83,6.392134181607866
10999,45585,614734.81,3012.2,45585,614734.81,5.180882352941176
12139,84,656.88,3.02,84,656.88,5.0
11912,2056,49010.19,230.35,2056,49010.19,6.033816425120773
9694,326,3915.84,20.75,326,3915.84,6.7555555555555555
9921,48,570.0,2.91,48,570.0,9.5
11983,339,3887.53,19.44,339,3887.53,8.4
10997,96,1831.68,8.98,96,1831.68,6.0
12480,16218,85232.03,400.59,7769,57781.71,7.011494252873563
11530,831,8491.68,38.21,831,8491.68,10.25
9467,2832,21652.88,116.93,2832,21652.88,7.9411764705882355
8379,9,194.22,1.05,9,194.21999999999997,7.5
12298,80,1157.03,6.36,80,1157.03,8.1
8915,572,4700.66,23.97,572,4700.66,9.987179487179487
8764,650,3774.13,17.74,650,3774.1299999999997,6.851851851851852
8365,1033,21832.98,117.9,1033,21832.98,6.92436974789916
8700,1148,6430.47,29.58,1148,6430.47,5.105263157894737
11443,30,572.4,2.8,30,572.4,10.6
11040,8184,58835.9,311.83,8184,58835.9,10.192495921696574
8563,89,1100.66,6.05,89,1100.66,8.857142857142858
9942,10342,104613.53,543.99,10342,104613.53,9.1340206185567
10733,2742,22151.33,115.19,2742,22151.33,9.374517374517374
12782,27395,178947.26,841.05,94,1524.92,7.375
9256,166,2842.69,14.5,166,2842.69,8.8
9729,20075,133873.24,736.3,20075,133873.24,10.056590257879655
11286,120,932.04,5.13,120,932.04,8.3
12389,36,542.28,2.44,7471,46335.33,6.066546762589928
8985,5482,45457.32,218.2,5482,45457.32,6.0966608084358525
10577,16576,99078.33,535.02,16576,99078.33,8.062226543509967
9704,48,353.04,1.77,48,353.04,7.25
8236,2714,45057.22,202.76,2714,45057.22,7.815686274509804
9994,76,776.65,4.04,76,776.65,6.142857142857143
13143,3098,43173.77,198.6,3964,36492.54,9.760416666666666
9216,6,129.48,0.65,6,129.48,11.0
10083,315,4094.7,18.43,315,4094.7,5.966666666666667
11989,2796,19879.11,97.41,2796,19879.11,8.35576923076923
8253,2688,23076.33,120.0,2688,23076.33,7.0964912280701755
11883,49265,315031.2,1480.65,49265,315031.2,7.125371521210484
8195,6,129.48,3.44,6,129.48,7.0
11772,9617,75865.43,402.09,9617,75865.43,7.971590909090909
9683,12,104.4,0.52,12,104.4,9.0
10266,110,829.72,4.4,110,829.72,8.454545454545455
13615,4532,61291.11,306.46,690,7400.07,6.918032786885246
8395,6644,58586.59,322.23,6644,58586.590000000004,5.062972292191436
13385,247,1676.95,7.88,3,23.82,11.0
10811,12,110.88,0.59,12,110.88,5.0
9521,17366,214028.06,1027.33,17366,214028.06,10.041194644696189
9234,399,3525.75,15.87,399,3525.75,9.444444444444445
12765,6,214.26,1.11,5102,47764.11,8.245901639344263
12689,24,207.84,1.08,24674,337510.37,7.047086521483226
12219,1317,7322.23,35.88,1317,7322.2300000000005,5.658536585365853
12364,1344,20145.19,104.75,1150,9962.24,8.101449275362318
11101,9265,215145.84,1054.21,9265,215145.84,6.2624
9188,215,3053.3,16.18,215,3053.2999999999997,5.933333333333334
11963,1860,22750.89,102.38,1860,22750.89,8.936781609195402
11700,2442,35960.1,165.42,2442,35960.1,5.870662460567823
12716,20863,476300.61,2476.76,11700,73885.03,5.209030100334449
12388,299,2316.03,11.35,36,285.6,5.0
11531,4744,55450.43,304.98,4744,55450.43,10.233226837060704
10793,40,834.44,4.59,40,834.4399999999999,6.333333333333333
8309,1418,24411.92,124.5,1418,24411.92,9.980263157894736
11012,4758,51320.04,230.94,4758,51320.04,5.206467661691542
10251,14830,126932.71,621.97,14830,126932.71,9.239419588875453
9393,225,2509.67,11.29,225,2509.67,4.684210526315789
13597,48425,663584.35,3649.71,129816,1226463.19,7.908893709327549
10351,1164,8385.04,44.44,1164,8385.04,9.404040404040405
8626,22558,175471.77,894.91,22558,175471.77,9.070201276386843
12133,106,908.96,4.73,106,908.96,4.888888888888889
10022,21903,274587.75,1400.4,21903,274587.75,9.986512524084779
10019,2639,22329.89,122.81,2639,22329.89,5.237442922374429
9672,14873,190511.13,857.3,14873,190511.13,7.0894308943089435
8503,73562,403519.01,1856.19,73562,403519.01,10.30860927152318
10315,2091,17972.42,97.05,2091,17972.42,5.180645161290323
13649,511,5285.08,28.01,322,2520.08,5.5
10995,24,153.12,0.69,24,153.12,5.0
9673,12,105.42,0.51,12,105.41999999999999,7.5
10927,168,1819.08,9.46,168,1819.08,10.357142857142858
11240,77,600.17,3.06,77,600.17,10.375
12717,315,2258.81,12.2,4120,41959.5,5.111111111111111
11112,154,2650.12,12.99,154,2650.12,5.0
13100,7598,55148.67,270.23,192,6496.5599999999995,6.076923076923077
12744,115,1643.61,8.38,42,396.9,9.75
9474,26,265.46,1.33,26,265.46,6.5
12795,2236,27596.03,151.78,15567,393787.68,6.3083067092651754
9430,157,3081.34,16.02,157,3081.34,11.375
10312,1803,26639.61,127.87,1803,26639.61,5.202764976958525
12453,11435,85640.17,471.02,36,342.71999999999997,8.333333333333334
12370,633,8009.59,40.05,145,1666.01,7.0
11038,26674,194193.14,932.13,26674,194193.14,10.221587960560457
11576,4238,103895.9,488.31,4238,103895.90000000001,8.102836879432624
8458,12,230.04,1.08,12,230.04,8.0
8430,1638,11823.28,57.93,1638,11823.28,9.04225352112676
11239,8833,63199.79,309.68,8833,63199.79,10.118935837245697
12798,12,164.28,0.87,11807,117334.01,5.922297297297297
11027,2367,19242.38,101.98,2367,19242.38,10.230958230958231
13579,3535,57414.08,304.29,19825,180182.24,9.04581673306773
9882,165,2364.5,12.3,165,2364.5,6.758620689655173
12983,428,5552.44,29.43,9042,116854.46,8.166666666666666
8259,9281,69321.83,346.61,9281,69321.83,6.853296193129062
8166,279,2392.18,51.37,279,2392.18,9.733333333333333
13254,262,2530.36,11.39,121,1421.4,9.916666666666666
8387,120,872.97,4.36,120,872.97,5.777777777777778
13522,4342,54131.48,265.24,5,97.0,6.0
8480,12,76.92,0.38,12,76.92,6.0
9578,24,137.16,0.63,24,137.16,6.0
11196,2214,25950.99,121.97,2214,25950.99,6.193548387096774
9253,3644,26275.16,136.63,3644,26275.16,8.03103448275862
9195,154,1192.15,6.56,154,1192.15,6.0
8849,132,3718.02,17.47,132,3718.02,7.85
13315,150,1730.37,8.82,95,1828.8799999999999,5.888888888888889
10174,135,2156.02,11.43,135,2156.02,7.090909090909091
9708,39751,334420.92,1805.87,39751,334420.92,5.114332784184514
9287,12,120.72,0.64,12,120.72,7.0
9963,36,261.96,1.31,36,261.96,8.0
8611,20718,157800.62,820.56,20718,157800.62,10.018941868060091
11799,787,4862.6,24.31,787,4862.599999999999,6.82089552238806
11189,187,5623.82,29.24,187,5623.82,6.111111111111111
12540,880,6675.97,31.38,141,4560.71,8.956521739130435
12301,834,5097.48,25.49,834,5097.4800000000005,8.210526315789474
9728,118,1504.76,7.22,118,1504.76,10.2
9371,176,1649.2,8.91,176,1649.2,6.133333333333334
10580,12,52.08,0.27,12,52.08,7.0
10020,180,1495.56,6.73,180,1495.56,5.533333333333333
11074,29595,207994.92,998.38,29595,207994.92,8.205465920316101
8227,158,1133.08,5.89,158,1133.0800000000002,8.642857142857142
11171,19,405.08,1.86,19,405.08,7.0
11808,746,6379.09,28.71,746,6379.09,6.168539325842697
12299,12,88.56,0.44,12,88.56,8.0
13223,569,6034.94,31.38,12,125.64,5.0
8541,416,3247.06,17.21,416,3247.06,9.56
13635,15003,316863.94,1457.57,191,3002.44,6.111111111111111
12438,2303,26747.69,123.04,1447,7257.52,9.822222222222223
9625,1175,12109.99,59.34,1175,12109.99,10.184782608695652
8890,144,1998.84,10.39,144,1998.84,7.6
11206,36,410.28,1.89,36,410.28,5.333333333333333
11250,37347,568253.17,3125.39,37347,568253.17,9.127614169867691
11565,12,428.52,2.1,12,428.52,8.0
9656,1423,12883.31,64.42,1423,12883.31,9.533980582524272
9326,119,1640.83,8.2,119,1640.83,10.1
9978,2733,26428.77,121.57,2733,26428.77,7.108910891089109
10550,33594,435940.79,2048.92,33594,435940.79,9.115751248297776
8892,117,1096.05,5.15,117,1096.05,4.9411764705882355
10461,12,272.64,1.5,12,272.64,9.0
12395,78,1341.78,6.04,39323,240227.04,4.920037926675095
11361,1660,14084.68,69.01,1660,14084.68,9.21259842519685
9012,96,1106.22,5.53,96,1106.22,4.818181818181818
8702,131,2677.14,13.65,131,2677.14,6.6
13147,84,1272.0,6.74,1123,9515.43,9.905882352941177
8576,125,1092.69,5.14,125,1092.69,6.416666666666667
13209,46468,333609.94,1501.24,1339,14507.21,5.444444444444445
10759,5184,36372.01,163.67,5184,36372.01,8.581609195402299
10379,11274,114537.35,629.96,11274,114537.35,7.0227272727272725
9543,164,1392.91,7.52,164,1392.9099999999999,8.642857142857142
8600,15535,91556.42,421.16,15535,91556.42,5.540932642487046
9818,29,618.28,2.97,29,618.28,10.6
10654,48870,461195.66,2490.46,48870,461195.66,9.0203020549641
10425,41,628.08,3.39,41,628.08,4.833333333333333
9298,11560,141718.8,651.91,11560,141718.8,6.098090277777778
12842,4258,37011.58,196.16,647,13962.26,11.166666666666666
9155,9437,94060.62,517.33,9437,94060.62,8.303082191780822
12406,510,5980.93,27.51,299,2316.0299999999997,5.653846153846154
8553,25902,195041.48,877.69,25902,195041.48,7.3311688311688314
12938,161,2211.4,10.17,152,1951.78,10.368421052631579
